interval,volume,volume_diff,volume_change,sales,sales_diff,average_price
one_day,411.62319,8.0,0.10678767329554775,100,0.08695652173913043,4.1162319
seven_day,3826.636529989998,-1051.0,-0.5296923946215055,938,0.0,4.079569861396586
thirty_day,23420.333335990035,-4183.0,-0.4921815986563575,5592,0.0,4.188185503574756
