interval,volume,volume_diff,volume_change,sales,sales_diff,average_price
one_day,50.30029900000001,-24.0,-0.3118757607087875,39,-0.38095238095238093,1.2897512564102567
seven_day,635.6432529989984,-67.0,-0.1385177270465906,522,0.0,1.2177073812241348
thirty_day,3173.367666584958,-520.0,-0.15055255452153862,2529,0.0,1.2547914854033049
