symbol,address,chain,image,name,decimals,eth_price,usd_price
ETH,0x0000000000000000000000000000000000000000,ethereum,https://raw.seadn.io/files/ETH.svg,Ether,18,1.000000000000000,3183.570000000000164000
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethereum,https://raw.seadn.io/files/WETH.svg,Wrapped Ether,18,1.000000000000000,3171.530000000000200000
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ethereum,https://raw.seadn.io/files/USDC.svg,USD Coin,6,0.000314310000000,1.001000000000000000
APE,0x4d224452801aced8b2f0aebe155379bb5d594381,ethereum,https://raw.seadn.io/files/APE.svg,ApeCoin,18,0.000619380000000,1.970000000000000000
